GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Parcela;Mes Referencia ;Tipo Receita; Premio Bruto ;% Receita para XIPP;Receita Bruta da Corretora XIPP;  % Impostos retidos;Impostos retidos;Receita recebida pela Corretora XIPP;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;UNIMED BH;SAÚDE;7;01/07/2022;Comissão; R$ 56.857,63 ;5%; R$ 2.842,88 ;6,50%; R$ 184,79 ; R$ 2.658,09 ;14,25%; 378,78 ; 2.279,32 ;10%; 227,93 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;ODONTO;10;01/08/2022;Comissão; R$ 3.240,18 ;5%; R$ 162,01 ;6,50%; R$ 10,53 ; R$ 151,48 ;14,25%; 21,59 ; 129,89 ;10%; 12,99 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0003-02;METLIFE;ODONTO;10;01/08/2022;Comissão; R$ 68,94 ;5%; R$ 3,45 ;6,50%; R$ 0,22 ; R$ 3,22 ;14,25%; 0,46 ; 2,76 ;10%; 0,28 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0004-93;METLIFE;ODONTO;10;01/08/2022;Comissão; R$ 68,94 ;5%; R$ 3,45 ;6,50%; R$ 0,22 ; R$ 3,22 ;14,25%; 0,46 ; 2,76 ;10%; 0,28 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;Salvapé Produtos Ortopédicos Ltda.;60.883.741/0006-02;PRUDENTIAL;VIDA;5;01/07/2022;Comissão; R$ 1.750,06 ;20%; R$ 350,01 ;2,00%; R$ 7,00 ; R$ 343,01 ;14,25%; 48,88 ; 294,13 ;10%; 29,41 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;Salvapé Produtos Ortopédicos Ltda.;60.883.741/0009-47;PRUDENTIAL;VIDA;5;01/07/2022;Comissão; R$ 101,72 ;20%; R$ 20,34 ;2,00%; R$ 0,41 ; R$ 19,94 ;14,25%; 2,84 ; 17,10 ;10%; 1,71 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;Gen Serviços da Embalagem a Expedição Ltda.;02.330.106/0001-89;PRUDENTIAL;VIDA;5;01/07/2022;Comissão; R$ 139,02 ;20%; R$ 27,80 ;2,00%; R$ 0,56 ; R$ 27,25 ;14,25%; 3,88 ; 23,37 ;10%; 2,34 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;Confecções Mariclama Ltda.;10.204.906/0002-62;PRUDENTIAL;VIDA;5;01/07/2022;Comissão; R$ 115,54 ;20%; R$ 23,11 ;2,00%; R$ 0,46 ; R$ 22,65 ;14,25%; 3,23 ; 19,42 ;10%; 1,94 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0001-40;METLIFE;VIDA;8;01/06/2022;Comissão; R$ 2.529,24 ;20%; R$ 505,85 ;2,00%; R$ 10,12 ; R$ 495,73 ;14,25%; 70,64 ; 425,09 ;10%; 42,51 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;VIDA;8;01/06/2022;Comissão; R$ 5.111,67 ;20%; R$ 1.022,33 ;2,00%; R$ 20,45 ; R$ 1.001,89 ;14,25%; 142,77 ; 859,12 ;10%; 85,91 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0003-02;METLIFE;VIDA;8;01/06/2022;Comissão; R$ 60,89 ;20%; R$ 12,18 ;2,00%; R$ 0,24 ; R$ 11,93 ;14,25%; 1,70 ; 10,23 ;10%; 1,02 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0004-93;METLIFE;VIDA;8;01/06/2022;Comissão; R$ 1.651,23 ;20%; R$ 330,25 ;2,00%; R$ 6,60 ; R$ 323,64 ;14,25%; 46,12 ; 277,52 ;10%; 27,75 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0004-93;SULAMERICA;SAÚDE;11;01/09/2022;Comissão; R$ 4.047,12 ;5%; R$ 202,36 ;3,50%; R$ 7,08 ; R$ 195,27 ;14,25%; 27,83 ; 167,45 ;10%; 16,74 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0001-40;SULAMERICA;SAÚDE;11;01/09/2022;Comissão; R$ 97.733,20 ;5%; R$ 4.886,66 ;3,50%; R$ 171,03 ; R$ 4.715,63 ;14,25%; 671,98 ; 4.043,65 ;10%; 404,37 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;SULAMERICA;SAÚDE;11;01/09/2022;Comissão; R$ 10.792,20 ;5%; R$ 539,61 ;3,50%; R$ 18,89 ; R$ 520,72 ;14,25%; 74,20 ; 446,52 ;10%; 44,65 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0003-02;SULAMERICA;SAÚDE;11;01/09/2022;Comissão; R$ 4.047,12 ;5%; R$ 202,36 ;3,50%; R$ 7,08 ; R$ 195,27 ;14,25%; 27,83 ; 167,45 ;10%; 16,74 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;UNIMED BH;SAÚDE;8;01/08/2022;Comissão; R$ 61.590,16 ;5%; R$ 3.079,51 ;6,50%; R$ 200,17 ; R$ 2.879,34 ;14,25%; 410,31 ; 2.469,03 ;10%; 246,90 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;Salvapé Produtos Ortopédicos Ltda.;60.883.741/0006-02;PRUDENTIAL;VIDA;6;01/08/2022;Comissão; R$ 1.764,21 ;20%; R$ 352,84 ;2,00%; R$ 7,06 ; R$ 345,79 ;14,25%; 49,27 ; 296,51 ;10%; 29,65 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;Salvapé Produtos Ortopédicos Ltda.;60.883.741/0009-47;PRUDENTIAL;VIDA;6;01/08/2022;Comissão; R$ 103,14 ;20%; R$ 20,63 ;2,00%; R$ 0,41 ; R$ 20,22 ;14,25%; 2,88 ; 17,33 ;10%; 1,73 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;Gen Serviços da Embalagem a Expedição Ltda.;02.330.106/0001-89;PRUDENTIAL;VIDA;6;01/08/2022;Comissão; R$ 139,02 ;20%; R$ 27,80 ;2,00%; R$ 0,56 ; R$ 27,25 ;14,25%; 3,88 ; 23,37 ;10%; 2,34 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;Confecções Mariclama Ltda.;10.204.906/0002-62;PRUDENTIAL;VIDA;6;01/08/2022;Comissão; R$ 115,54 ;20%; R$ 23,11 ;2,00%; R$ 0,46 ; R$ 22,65 ;14,25%; 3,23 ; 19,42 ;10%; 1,94 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0001-40;METLIFE;VIDA;9;01/07/2022;Comissão; R$ 1.651,23 ;20%; R$ 330,25 ;2,00%; R$ 6,60 ; R$ 323,64 ;14,25%; 46,12 ; 277,52 ;10%; 27,75 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;VIDA;9;01/07/2022;Comissão; R$ 5.111,67 ;20%; R$ 1.022,33 ;2,00%; R$ 20,45 ; R$ 1.001,89 ;14,25%; 142,77 ; 859,12 ;10%; 85,91 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0003-02;METLIFE;VIDA;9;01/07/2022;Comissão; R$ 60,89 ;20%; R$ 12,18 ;2,00%; R$ 0,24 ; R$ 11,93 ;14,25%; 1,70 ; 10,23 ;10%; 1,02 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/09/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0004-93;METLIFE;VIDA;9;01/07/2022;Comissão; R$ 2.529,24 ;20%; R$ 505,85 ;2,00%; R$ 10,12 ; R$ 495,73 ;14,25%; 70,64 ; 425,09 ;10%; 42,51 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0004-93;SULAMERICA;SAÚDE;12;01/10/2022;Comissão; R$ 4.047,12 ;5%; R$ 202,36 ;3,50%; R$ 7,08 ; R$ 195,27 ;14,25%; 27,83 ; 167,45 ;10%; 16,74 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0001-40;SULAMERICA;SAÚDE;12;01/10/2022;Comissão; R$ 101.002,60 ;5%; R$ 5.050,13 ;3,50%; R$ 176,75 ; R$ 4.873,38 ;14,25%; 694,46 ; 4.178,92 ;10%; 417,89 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;SULAMERICA;SAÚDE;12;01/10/2022;Comissão; R$ 10.792,20 ;5%; R$ 539,61 ;3,50%; R$ 18,89 ; R$ 520,72 ;14,25%; 74,20 ; 446,52 ;10%; 44,65 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0003-02;SULAMERICA;SAÚDE;12;01/10/2022;Comissão; R$ 4.047,12 ;5%; R$ 202,36 ;3,50%; R$ 7,08 ; R$ 195,27 ;14,25%; 27,83 ; 167,45 ;10%; 16,74 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;UNIMED BH;SAÚDE;9;01/09/2022;Comissão; R$ 57.996,60 ;5%; R$ 2.899,83 ;6,50%; R$ 188,49 ; R$ 2.711,34 ;14,25%; 386,37 ; 2.324,97 ;10%; 232,50 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;ODONTO;11;01/09/2022;Comissão; R$ 3.297,63 ;10%; R$ 329,76 ;2,00%; R$ 6,60 ; R$ 323,17 ;14,25%; 46,05 ; 277,12 ;10%; 27,71 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0003-02;METLIFE;ODONTO;11;01/09/2022;Comissão; R$ 68,94 ;10%; R$ 6,89 ;2,00%; R$ 0,14 ; R$ 6,76 ;14,25%; 0,96 ; 5,79 ;10%; 0,58 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0004-93;METLIFE;ODONTO;11;01/09/2022;Comissão; R$ 68,94 ;10%; R$ 6,89 ;2,00%; R$ 0,14 ; R$ 6,76 ;14,25%; 0,96 ; 5,79 ;10%; 0,58 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;ODONTO;12;01/10/2022;Comissão; R$ 3.469,98 ;10%; R$ 347,00 ;2,00%; R$ 6,94 ; R$ 340,06 ;14,25%; 48,46 ; 291,60 ;10%; 29,16 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0003-02;METLIFE;ODONTO;12;01/10/2022;Comissão; R$ 68,94 ;10%; R$ 6,89 ;2,00%; R$ 0,14 ; R$ 6,76 ;14,25%; 0,96 ; 5,79 ;10%; 0,58 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0004-93;METLIFE;ODONTO;12;01/10/2022;Comissão; R$ 68,94 ;10%; R$ 6,89 ;2,00%; R$ 0,14 ; R$ 6,76 ;14,25%; 0,96 ; 5,79 ;10%; 0,58 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;Salvapé Produtos Ortopédicos Ltda.;60.883.741/0006-02;PRUDENTIAL;VIDA;7;01/10/2022;Comissão; R$ 1.758,25 ;20%; R$ 351,65 ;2,00%; R$ 7,03 ; R$ 344,62 ;14,25%; 49,11 ; 295,51 ;10%; 29,55 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;Salvapé Produtos Ortopédicos Ltda.;60.883.741/0009-47;PRUDENTIAL;VIDA;7;01/10/2022;Comissão; R$ 94,17 ;20%; R$ 18,83 ;2,00%; R$ 0,38 ; R$ 18,46 ;14,25%; 2,63 ; 15,83 ;10%; 1,58 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;Gen Serviços da Embalagem a Expedição Ltda.;02.330.106/0001-89;PRUDENTIAL;VIDA;7;01/10/2022;Comissão; R$ 139,02 ;20%; R$ 27,80 ;2,00%; R$ 0,56 ; R$ 27,25 ;14,25%; 3,88 ; 23,37 ;10%; 2,34 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;Confecções Mariclama Ltda.;10.204.906/0002-62;PRUDENTIAL;VIDA;7;01/10/2022;Comissão; R$ 119,86 ;20%; R$ 23,97 ;2,00%; R$ 0,48 ; R$ 23,49 ;14,25%; 3,35 ; 20,14 ;10%; 2,01 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0001-40;METLIFE;VIDA;10;01/08/2022;Comissão; R$ 2.529,24 ;20%; R$ 505,85 ;2,00%; R$ 10,12 ; R$ 495,73 ;14,25%; 70,64 ; 425,09 ;10%; 42,51 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;VIDA;10;01/08/2022;Comissão; R$ 5.111,67 ;20%; R$ 1.022,33 ;2,00%; R$ 20,45 ; R$ 1.001,89 ;14,25%; 142,77 ; 859,12 ;10%; 85,91 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0003-02;METLIFE;VIDA;10;01/08/2022;Comissão; R$ 60,89 ;20%; R$ 12,18 ;2,00%; R$ 0,24 ; R$ 11,93 ;14,25%; 1,70 ; 10,23 ;10%; 1,02 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/10/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0004-93;METLIFE;VIDA;10;01/08/2022;Comissão; R$ 1.651,23 ;20%; R$ 330,25 ;2,00%; R$ 6,60 ; R$ 323,64 ;14,25%; 46,12 ; 277,52 ;10%; 27,75 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/11/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;UNIMED BH;SAÚDE;10;01/10/2022;Comissão; R$ 58.720,86 ;5%; R$ 2.936,04 ;6,50%; R$ 190,84 ; R$ 2.745,20 ;14,25%; 391,19 ; 2.354,01 ;10%; 235,40 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/11/2022;Middle;Salvapé Produtos Ortopédicos Ltda.;60.883.741/0006-02;PRUDENTIAL;VIDA;8;01/10/2022;Comissão; R$ 1.837,46 ;20%; R$ 367,49 ;2,00%; R$ 7,35 ; R$ 360,14 ;14,25%; 51,32 ; 308,82 ;10%; 30,88 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/11/2022;Middle;Salvapé Produtos Ortopédicos Ltda.;60.883.741/0009-47;PRUDENTIAL;VIDA;8;01/10/2022;Comissão; R$ 7,87 ;20%; R$ 1,57 ;2,00%; R$ 0,03 ; R$ 1,54 ;14,25%; 0,22 ; 1,32 ;10%; 0,13 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/11/2022;Middle;Gen Serviços da Embalagem a Expedição Ltda.;02.330.106/0001-89;PRUDENTIAL;VIDA;8;01/10/2022;Comissão; R$ 152,33 ;20%; R$ 30,47 ;2,00%; R$ 0,61 ; R$ 29,86 ;14,25%; 4,25 ; 25,60 ;10%; 2,56 
Salvapé;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/11/2022;Middle;Confecções Mariclama Ltda.;10.204.906/0002-62;PRUDENTIAL;VIDA;8;01/10/2022;Comissão; R$ 119,86 ;20%; R$ 23,97 ;2,00%; R$ 0,48 ; R$ 23,49 ;14,25%; 3,35 ; 20,14 ;10%; 2,01 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/11/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0001-40;METLIFE;VIDA;11;01/09/2022;Comissão; R$ 2.529,24 ;20%; R$ 505,85 ;2,00%; R$ 10,12 ; R$ 495,73 ;14,25%; 70,64 ; 425,09 ;10%; 42,51 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/11/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;VIDA;11;01/09/2022;Comissão; R$ 5.111,67 ;20%; R$ 1.022,33 ;2,00%; R$ 20,45 ; R$ 1.001,89 ;14,25%; 142,77 ; 859,12 ;10%; 85,91 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/11/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0003-02;METLIFE;VIDA;11;01/09/2022;Comissão; R$ 60,89 ;20%; R$ 12,18 ;2,00%; R$ 0,24 ; R$ 11,93 ;14,25%; 1,70 ; 10,23 ;10%; 1,02 
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/11/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0004-93;METLIFE;VIDA;11;01/09/2022;Comissão; R$ 1.651,23 ;20%; R$ 330,25 ;2,00%; R$ 6,60 ; R$ 323,64 ;14,25%; 46,12 ; 277,52 ;10%; 27,75 
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/06/2022;Middle;Wiler Kar Comercio E Decoracoes Ltda;04.539.316/0001-07;GNDI;Saúde;1;01/05/2022;Comissão ; R$ 55.384,66 ;5%; R$ 2.769,23 ;6,50%; R$ 180,00 ; R$ 2.589,23 ;14,25%; 368,97 ; 2.220,27 ;10%; 222,03 
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/06/2022;Middle;Wiler Kar Comercio E Decoracoes Ltda;04.539.316/0001-07;GNDI;Saúde;2;01/06/2022;Comissão ; R$ 51.944,62 ;5%; R$ 2.597,23 ;6,50%; R$ 168,82 ; R$ 2.428,41 ;14,25%; 346,05 ; 2.082,36 ;10%; 208,24 
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/07/2022;Middle;Wiler Kar Comercio E Decoracoes Ltda;04.539.316/0001-07;GNDI;Saúde;3;01/06/2022;Comissão ; R$ 55.728,66 ;5%; R$ 2.786,43 ;6,50%; R$ 181,12 ; R$ 2.605,31 ;14,25%; 371,26 ; 2.234,06 ;10%; 223,41 
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/08/2022;Middle;Wiler Kar Comercio E Decoracoes Ltda;04.539.316/0001-07;GNDI;Saúde;4;01/08/2022;Comissão ; R$ 52.632,63 ;5%; R$ 2.631,63 ;6,50%; R$ 171,06 ; R$ 2.460,58 ;14,25%; 350,63 ; 2.109,94 ;10%; 210,99 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/08/2022;Middle;Cria Sim Produtos de Higiene Ltda.;05.975.111/0001-37;Odontoprev;Odonto;1;01/06/2022;Comissão ; R$ 4.457,46 ;5%; R$ 222,87 ;1,50%; R$ 3,34 ; R$ 219,53 ;14,25%; 31,28 ; 188,25 ;10%; 18,82 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/08/2022;Middle;Cria Sim Produtos De Higiene Ltda.;05.975.111/0003-07;Odontoprev;Odonto;1;01/06/2022;Comissão ; R$ 8.635,62 ;5%; R$ 431,78 ;1,50%; R$ 6,48 ; R$ 425,30 ;14,25%; 60,61 ; 364,70 ;10%; 36,47 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/08/2022;Middle;Cria Sim Produtos de Higiene Ltda.;05.975.111/0001-37;Odontoprev;Odonto;2;01/07/2022;Comissão ; R$ 4.873,42 ;5%; R$ 243,67 ;1,50%; R$ 3,66 ; R$ 240,02 ;14,25%; 34,20 ; 205,81 ;10%; 20,58 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/08/2022;Middle;Cria Sim Produtos De Higiene Ltda.;05.975.111/0003-07;Odontoprev;Odonto;2;01/07/2022;Comissão ; R$ 8.506,80 ;5%; R$ 425,34 ;1,50%; R$ 6,38 ; R$ 418,96 ;14,25%; 59,70 ; 359,26 ;10%; 35,93 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/08/2022;Middle;Cria Sim Produtos de Higiene Ltda.;05.975.111/0001-37;Odontoprev;Odonto;3;01/08/2022;Comissão ; R$ 4.991,32 ;5%; R$ 249,57 ;1,50%; R$ 3,74 ; R$ 245,82 ;14,25%; 35,03 ; 210,79 ;10%; 21,08 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/08/2022;Middle;Cria Sim Produtos De Higiene Ltda.;05.975.111/0003-07;Odontoprev;Odonto;3;01/08/2022;Comissão ; R$ 8.889,26 ;5%; R$ 444,46 ;1,50%; R$ 6,67 ; R$ 437,80 ;14,25%; 62,39 ; 375,41 ;10%; 37,54 
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Middle;Wiler Kar Comercio E Decoracoes Ltda;04.539.316/0001-07;GNDI;Saúde;5;01/09/2022;Comissão ; R$ 50.912,60 ;5%; R$ 2.545,63 ;6,50%; R$ 165,47 ; R$ 2.380,16 ;14,25%; 339,17 ; 2.040,99 ;10%; 204,10 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Middle;Cria Sim Produtos de Higiene Ltda.;05.975.111/0001-37;Odontoprev;Odonto;4;01/09/2022;Comissão ; R$ 4.567,79 ;5%; R$ 228,39 ;1,50%; R$ 3,43 ; R$ 224,96 ;14,25%; 32,06 ; 192,91 ;10%; 19,29 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Middle;Cria Sim Produtos De Higiene Ltda.;05.975.111/0003-07;Odontoprev;Odonto;4;01/09/2022;Comissão ; R$ 8.895,53 ;5%; R$ 444,78 ;1,50%; R$ 6,67 ; R$ 438,10 ;14,25%; 62,43 ; 375,67 ;10%; 37,57 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Corporate;Cria Sim Produtos de Higiene ltda;05.975.111/0001-37;GNDI;Saúde;1;01/09/2022;Comissão ; R$ 72.976,85 ;3%; R$ 2.189,31 ;6,50%; R$ 142,30 ; R$ 2.047,00 ;14,25%; 291,70 ; 1.755,30 ;10%; 175,53 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Corporate;Leader Up Sistemas Ltda.;02.210.084/0001-13;Bradesco;Saúde;1;01/08/2022;Agenciamento; R$ 187.403,61 ;95%; R$ 178.033,43 ;3,50%; R$ 6.231,17 ; R$ 171.802,26 ;14,25%; 24.481,82 ; 147.320,44 ;10%; 14.732,04 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Corporate;"	Pharma Services Comercial Ltda.";"	53.590.535/0001-26";Bradesco;Saúde;1;01/08/2022;Agenciamento; R$ 10.965,15 ;95%; R$ 10.416,89 ;3,50%; R$ 364,59 ; R$ 10.052,30 ;14,25%; 1.432,45 ; 8.619,85 ;10%; 861,98 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Corporate;Leader Up Sistemas Ltda.;02.210.084/0001-13;Bradesco;Saúde;2;01/09/2022;Comissão ; R$ 192.932,83 ;5%; R$ 9.646,64 ;3,50%; R$ 337,63 ; R$ 9.309,01 ;14,25%; 1.326,53 ; 7.982,48 ;10%; 798,25 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Corporate;"	Pharma Services Comercial Ltda.";"	53.590.535/0001-26";Bradesco;Saúde;2;01/09/2022;Comissão ; R$ 10.965,15 ;5%; R$ 548,26 ;3,50%; R$ 19,19 ; R$ 529,07 ;14,25%; 75,39 ; 453,68 ;10%; 45,37 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Corporate;"	Pharma Services Comercial Ltda.";"	53.590.535/0001-26";Bradesco;Saúde;3;01/09/2022;Comissão ; R$ 194.885,31 ;5%; R$ 9.744,27 ;3,50%; R$ 341,05 ; R$ 9.403,22 ;14,25%; 1.339,96 ; 8.063,26 ;10%; 806,33 
Closeup;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2022;Corporate;Leader Up Sistemas Ltda.;02.210.084/0001-13;Bradesco;Saúde;3;01/09/2022;Comissão ; R$ 14.264,19 ;5%; R$ 713,21 ;3,50%; R$ 24,96 ; R$ 688,25 ;14,25%; 98,08 ; 590,17 ;10%; 59,02 
Wiler Kar;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2022;Middle;Wiler Kar Comercio E Decoracoes Ltda;04.539.316/0001-07;GNDI;Saúde;6;01/10/2022;Comissão ; R$ 55.040,65 ;5%; R$ 2.752,03 ;6,50%; R$ 178,88 ; R$ 2.573,15 ;14,25%; 366,67 ; 2.206,48 ;10%; 220,65 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2022;Middle;Cria Sim Produtos de Higiene Ltda.;05.975.111/0001-37;Odontoprev;Odonto;5;01/10/2022;Comissão ; R$ 4.857,25 ;10%; R$ 485,73 ;1,50%; R$ 7,29 ; R$ 478,44 ;14,25%; 68,18 ; 410,26 ;10%; 41,03 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2022;Middle;Cria Sim Produtos De Higiene Ltda.;05.975.111/0003-07;Odontoprev;Odonto;5;01/10/2022;Comissão ; R$ 8.971,16 ;10%; R$ 897,12 ;1,50%; R$ 13,46 ; R$ 883,66 ;14,25%; 125,92 ; 757,74 ;10%; 75,77 
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2022;Corporate;Officina Merchandinsing e Distribuição;05.868.034/0001-16;GNDI;Saúde;1;01/10/2022;Comissão ; R$ 341,66 ;3%; R$ 10,25 ;6,50%; R$ 0,67 ; R$ 9,58 ;14,25%; 1,37 ; 8,22 ;10%; 0,82 
